[04-30-2018 12:53:32]	[Train:train] Iter:0	loss=0.650259
[04-30-2018 12:53:36]	[Eval:test] Iter:0	accuracy=0.630767
[04-30-2018 12:54:04]	[Eval:valid] Iter:0	accuracy=0.633393
[04-30-2018 12:54:31]	[Train:train] Iter:1	loss=0.640154
[04-30-2018 12:54:39]	[Eval:test] Iter:1	accuracy=0.630964
[04-30-2018 12:55:06]	[Eval:valid] Iter:1	accuracy=0.633664
[04-30-2018 12:55:32]	[Train:train] Iter:2	loss=0.621948
[04-30-2018 12:55:37]	[Eval:test] Iter:2	accuracy=0.679451
[04-30-2018 12:56:05]	[Eval:valid] Iter:2	accuracy=0.681585
[04-30-2018 12:56:33]	[Train:train] Iter:3	loss=0.609149
[04-30-2018 12:56:41]	[Eval:test] Iter:3	accuracy=0.685439
[04-30-2018 12:57:09]	[Eval:valid] Iter:3	accuracy=0.686964
[04-30-2018 12:57:37]	[Train:train] Iter:4	loss=0.583777
[04-30-2018 12:57:42]	[Eval:test] Iter:4	accuracy=0.686868
[04-30-2018 12:58:10]	[Eval:valid] Iter:4	accuracy=0.687033
[04-30-2018 12:58:37]	[Train:train] Iter:5	loss=0.571645
[04-30-2018 12:58:43]	[Eval:test] Iter:5	accuracy=0.692902
[04-30-2018 12:59:10]	[Eval:valid] Iter:5	accuracy=0.694004
[04-30-2018 12:59:38]	[Train:train] Iter:6	loss=0.590036
[04-30-2018 12:59:43]	[Eval:test] Iter:6	accuracy=0.710048
[04-30-2018 13:00:11]	[Eval:valid] Iter:6	accuracy=0.710131
[04-30-2018 13:00:38]	[Train:train] Iter:7	loss=0.553662
[04-30-2018 13:00:44]	[Eval:test] Iter:7	accuracy=0.723092
[04-30-2018 13:01:12]	[Eval:valid] Iter:7	accuracy=0.720866
[04-30-2018 13:01:40]	[Train:train] Iter:8	loss=0.538764
[04-30-2018 13:01:46]	[Eval:test] Iter:8	accuracy=0.730414
[04-30-2018 13:02:13]	[Eval:valid] Iter:8	accuracy=0.727678
[04-30-2018 13:02:40]	[Train:train] Iter:9	loss=0.519155
[04-30-2018 13:02:46]	[Eval:test] Iter:9	accuracy=0.720296
[04-30-2018 13:03:14]	[Eval:valid] Iter:9	accuracy=0.723373
[04-30-2018 13:03:44]	[Train:train] Iter:10	loss=0.530005
[04-30-2018 13:04:01]	[Eval:test] Iter:10	accuracy=0.742878
[04-30-2018 13:04:28]	[Eval:valid] Iter:10	accuracy=0.740285
[04-30-2018 13:04:55]	[Train:train] Iter:11	loss=0.504276
[04-30-2018 13:05:02]	[Eval:test] Iter:11	accuracy=0.747582
[04-30-2018 13:05:30]	[Eval:valid] Iter:11	accuracy=0.744644
[04-30-2018 13:05:57]	[Train:train] Iter:12	loss=0.503357
[04-30-2018 13:06:03]	[Eval:test] Iter:12	accuracy=0.753323
[04-30-2018 13:06:30]	[Eval:valid] Iter:12	accuracy=0.750837
[04-30-2018 13:06:58]	[Train:train] Iter:13	loss=0.495217
[04-30-2018 13:07:04]	[Eval:test] Iter:13	accuracy=0.754580
[04-30-2018 13:07:32]	[Eval:valid] Iter:13	accuracy=0.751649
[04-30-2018 13:07:59]	[Train:train] Iter:14	loss=0.479606
[04-30-2018 13:08:04]	[Eval:test] Iter:14	accuracy=0.761550
[04-30-2018 13:08:32]	[Eval:valid] Iter:14	accuracy=0.758999
[04-30-2018 13:09:00]	[Train:train] Iter:15	loss=0.478009
[04-30-2018 13:09:06]	[Eval:test] Iter:15	accuracy=0.763075
[04-30-2018 13:09:34]	[Eval:valid] Iter:15	accuracy=0.761452
[04-30-2018 13:10:01]	[Train:train] Iter:16	loss=0.446886
[04-30-2018 13:10:07]	[Eval:test] Iter:16	accuracy=0.760981
[04-30-2018 13:10:35]	[Eval:valid] Iter:16	accuracy=0.760970
[04-30-2018 13:11:03]	[Train:train] Iter:17	loss=0.469689
[04-30-2018 13:11:08]	[Eval:test] Iter:17	accuracy=0.765809
[04-30-2018 13:11:35]	[Eval:valid] Iter:17	accuracy=0.764999
[04-30-2018 13:12:03]	[Train:train] Iter:18	loss=0.465343
[04-30-2018 13:12:08]	[Eval:test] Iter:18	accuracy=0.772213
[04-30-2018 13:12:36]	[Eval:valid] Iter:18	accuracy=0.770723
[04-30-2018 13:13:04]	[Train:train] Iter:19	loss=0.462144
[04-30-2018 13:13:10]	[Eval:test] Iter:19	accuracy=0.771375
[04-30-2018 13:13:38]	[Eval:valid] Iter:19	accuracy=0.771132
[04-30-2018 13:14:08]	[Train:train] Iter:20	loss=0.440755
