[05-04-2018 10:56:45]	[Train:train] Iter:0	loss=0.682394
[05-04-2018 10:59:19]	[Eval:test] Iter:0	accuracy=0.630685
[05-04-2018 11:03:17]	[Train:train] Iter:1	loss=0.656000
[05-04-2018 11:05:24]	[Eval:test] Iter:1	accuracy=0.630685
[05-04-2018 11:09:24]	[Train:train] Iter:2	loss=0.656805
[05-04-2018 11:11:30]	[Eval:test] Iter:2	accuracy=0.630685
[05-04-2018 11:15:29]	[Train:train] Iter:3	loss=0.639183
[05-04-2018 11:17:35]	[Eval:test] Iter:3	accuracy=0.630685
[05-04-2018 11:21:32]	[Train:train] Iter:4	loss=0.637718
[05-04-2018 11:23:38]	[Eval:test] Iter:4	accuracy=0.641595
[05-04-2018 11:27:36]	[Train:train] Iter:5	loss=0.621615
[05-04-2018 11:29:41]	[Eval:test] Iter:5	accuracy=0.678852
[05-04-2018 11:33:38]	[Train:train] Iter:6	loss=0.596606
[05-04-2018 11:35:44]	[Eval:test] Iter:6	accuracy=0.689124
[05-04-2018 11:39:43]	[Train:train] Iter:7	loss=0.577919
[05-04-2018 11:41:49]	[Eval:test] Iter:7	accuracy=0.696030
[05-04-2018 11:45:48]	[Train:train] Iter:8	loss=0.579787
[05-04-2018 11:47:53]	[Eval:test] Iter:8	accuracy=0.703176
[05-04-2018 11:51:52]	[Train:train] Iter:9	loss=0.559512
[05-04-2018 11:53:59]	[Eval:test] Iter:9	accuracy=0.709289
[05-04-2018 11:57:56]	[Train:train] Iter:10	loss=0.555106
[05-04-2018 12:00:02]	[Eval:test] Iter:10	accuracy=0.714315
[05-04-2018 12:04:01]	[Train:train] Iter:11	loss=0.542379
[05-04-2018 12:06:07]	[Eval:test] Iter:11	accuracy=0.717506
[05-04-2018 12:10:05]	[Train:train] Iter:12	loss=0.548647
[05-04-2018 12:12:12]	[Eval:test] Iter:12	accuracy=0.720503
[05-04-2018 12:16:11]	[Train:train] Iter:13	loss=0.549654
[05-04-2018 12:18:16]	[Eval:test] Iter:13	accuracy=0.722843
[05-04-2018 12:22:14]	[Train:train] Iter:14	loss=0.523360
[05-04-2018 12:24:19]	[Eval:test] Iter:14	accuracy=0.723515
[05-04-2018 12:28:16]	[Train:train] Iter:15	loss=0.520724
[05-04-2018 12:30:24]	[Eval:test] Iter:15	accuracy=0.725660
[05-04-2018 12:34:20]	[Train:train] Iter:16	loss=0.530802
[05-04-2018 12:36:27]	[Eval:test] Iter:16	accuracy=0.724994
[05-04-2018 12:40:25]	[Train:train] Iter:17	loss=0.525291
[05-04-2018 12:42:32]	[Eval:test] Iter:17	accuracy=0.735475
[05-04-2018 12:46:30]	[Train:train] Iter:18	loss=0.514230
[05-04-2018 12:48:40]	[Eval:test] Iter:18	accuracy=0.734862
[05-04-2018 12:52:39]	[Train:train] Iter:19	loss=0.505479
[05-04-2018 12:54:44]	[Eval:test] Iter:19	accuracy=0.739070
[05-04-2018 12:58:43]	[Train:train] Iter:20	loss=0.506879
[05-04-2018 13:00:48]	[Eval:test] Iter:20	accuracy=0.738372
[05-04-2018 13:04:45]	[Train:train] Iter:21	loss=0.505929
[05-04-2018 13:06:51]	[Eval:test] Iter:21	accuracy=0.740875
[05-04-2018 13:10:48]	[Train:train] Iter:22	loss=0.500935
[05-04-2018 13:12:54]	[Eval:test] Iter:22	accuracy=0.743098
[05-04-2018 13:16:54]	[Train:train] Iter:23	loss=0.483481
[05-04-2018 13:18:59]	[Eval:test] Iter:23	accuracy=0.744703
[05-04-2018 13:22:58]	[Train:train] Iter:24	loss=0.487162
[05-04-2018 13:25:05]	[Eval:test] Iter:24	accuracy=0.749864
[05-04-2018 13:29:04]	[Train:train] Iter:25	loss=0.488326
[05-04-2018 13:31:11]	[Eval:test] Iter:25	accuracy=0.745524
[05-04-2018 13:35:09]	[Train:train] Iter:26	loss=0.484795
[05-04-2018 13:37:16]	[Eval:test] Iter:26	accuracy=0.748573
[05-04-2018 13:41:14]	[Train:train] Iter:27	loss=0.505446
[05-04-2018 13:43:21]	[Eval:test] Iter:27	accuracy=0.749870
[05-04-2018 13:47:19]	[Train:train] Iter:28	loss=0.485465
[05-04-2018 13:49:24]	[Eval:test] Iter:28	accuracy=0.749826
[05-04-2018 13:53:24]	[Train:train] Iter:29	loss=0.493954
[05-04-2018 13:55:31]	[Eval:test] Iter:29	accuracy=0.754051
[05-04-2018 13:59:34]	[Train:train] Iter:30	loss=0.476864
[05-04-2018 14:01:39]	[Eval:test] Iter:30	accuracy=0.754543
[05-04-2018 14:05:36]	[Train:train] Iter:31	loss=0.493119
[05-04-2018 14:07:43]	[Eval:test] Iter:31	accuracy=0.754041
[05-04-2018 14:11:42]	[Train:train] Iter:32	loss=0.477311
[05-04-2018 14:13:50]	[Eval:test] Iter:32	accuracy=0.753028
[05-04-2018 14:17:48]	[Train:train] Iter:33	loss=0.485640
[05-04-2018 14:19:54]	[Eval:test] Iter:33	accuracy=0.758186
[05-04-2018 14:23:51]	[Train:train] Iter:34	loss=0.466136
[05-04-2018 14:25:57]	[Eval:test] Iter:34	accuracy=0.755392
[05-04-2018 14:29:54]	[Train:train] Iter:35	loss=0.482666
[05-04-2018 14:32:01]	[Eval:test] Iter:35	accuracy=0.756299
[05-04-2018 14:35:58]	[Train:train] Iter:36	loss=0.471315
[05-04-2018 14:38:05]	[Eval:test] Iter:36	accuracy=0.759862
[05-04-2018 14:42:03]	[Train:train] Iter:37	loss=0.469130
[05-04-2018 14:44:09]	[Eval:test] Iter:37	accuracy=0.760349
[05-04-2018 14:48:06]	[Train:train] Iter:38	loss=0.472782
[05-04-2018 14:50:14]	[Eval:test] Iter:38	accuracy=0.760303
[05-04-2018 14:54:11]	[Train:train] Iter:39	loss=0.465229
[05-04-2018 14:56:19]	[Eval:test] Iter:39	accuracy=0.760923
[05-04-2018 15:00:17]	[Train:train] Iter:40	loss=0.460069
[05-04-2018 15:02:26]	[Eval:test] Iter:40	accuracy=0.763419
[05-04-2018 15:06:24]	[Train:train] Iter:41	loss=0.459360
[05-04-2018 15:08:30]	[Eval:test] Iter:41	accuracy=0.764968
[05-04-2018 15:12:27]	[Train:train] Iter:42	loss=0.456824
[05-04-2018 15:14:33]	[Eval:test] Iter:42	accuracy=0.762469
[05-04-2018 15:18:30]	[Train:train] Iter:43	loss=0.455318
[05-04-2018 15:20:37]	[Eval:test] Iter:43	accuracy=0.764982
[05-04-2018 15:24:35]	[Train:train] Iter:44	loss=0.471504
[05-04-2018 15:26:41]	[Eval:test] Iter:44	accuracy=0.758466
[05-04-2018 15:30:39]	[Train:train] Iter:45	loss=0.461134
[05-04-2018 15:32:45]	[Eval:test] Iter:45	accuracy=0.766841
[05-04-2018 15:36:43]	[Train:train] Iter:46	loss=0.456423
[05-04-2018 15:38:49]	[Eval:test] Iter:46	accuracy=0.765210
[05-04-2018 15:42:46]	[Train:train] Iter:47	loss=0.455399
[05-04-2018 15:44:53]	[Eval:test] Iter:47	accuracy=0.764739
[05-04-2018 15:48:52]	[Train:train] Iter:48	loss=0.448562
[05-04-2018 15:50:59]	[Eval:test] Iter:48	accuracy=0.766345
[05-04-2018 15:54:57]	[Train:train] Iter:49	loss=0.442602
[05-04-2018 15:57:03]	[Eval:test] Iter:49	accuracy=0.768021
[05-04-2018 16:01:01]	[Train:train] Iter:50	loss=0.458041
[05-04-2018 16:03:08]	[Eval:test] Iter:50	accuracy=0.761320
[05-04-2018 16:07:06]	[Train:train] Iter:51	loss=0.470587
[05-04-2018 16:09:12]	[Eval:test] Iter:51	accuracy=0.769110
[05-04-2018 16:13:10]	[Train:train] Iter:52	loss=0.460823
[05-04-2018 16:15:16]	[Eval:test] Iter:52	accuracy=0.769182
[05-04-2018 16:19:14]	[Train:train] Iter:53	loss=0.445638
[05-04-2018 16:21:21]	[Eval:test] Iter:53	accuracy=0.768835
[05-04-2018 16:25:19]	[Train:train] Iter:54	loss=0.455246
[05-04-2018 16:27:25]	[Eval:test] Iter:54	accuracy=0.768947
[05-04-2018 16:31:23]	[Train:train] Iter:55	loss=0.450629
[05-04-2018 16:33:29]	[Eval:test] Iter:55	accuracy=0.767231
[05-04-2018 16:37:28]	[Train:train] Iter:56	loss=0.455174
[05-04-2018 16:39:34]	[Eval:test] Iter:56	accuracy=0.770571
[05-04-2018 16:43:32]	[Train:train] Iter:57	loss=0.445061
[05-04-2018 16:45:38]	[Eval:test] Iter:57	accuracy=0.768416
[05-04-2018 16:49:35]	[Train:train] Iter:58	loss=0.447981
[05-04-2018 16:51:42]	[Eval:test] Iter:58	accuracy=0.770631
[05-04-2018 16:55:40]	[Train:train] Iter:59	loss=0.465995
[05-04-2018 16:57:46]	[Eval:test] Iter:59	accuracy=0.773102
[05-04-2018 17:01:44]	[Train:train] Iter:60	loss=0.442193
[05-04-2018 17:03:50]	[Eval:test] Iter:60	accuracy=0.773541
[05-04-2018 17:07:48]	[Train:train] Iter:61	loss=0.451407
[05-04-2018 17:09:54]	[Eval:test] Iter:61	accuracy=0.772232
[05-04-2018 17:13:52]	[Train:train] Iter:62	loss=0.435600
[05-04-2018 17:15:57]	[Eval:test] Iter:62	accuracy=0.772822
[05-04-2018 17:19:55]	[Train:train] Iter:63	loss=0.447336
[05-04-2018 17:22:00]	[Eval:test] Iter:63	accuracy=0.769766
[05-04-2018 17:25:58]	[Train:train] Iter:64	loss=0.439542
[05-04-2018 17:28:04]	[Eval:test] Iter:64	accuracy=0.774611
[05-04-2018 17:32:04]	[Train:train] Iter:65	loss=0.445284
[05-04-2018 17:34:10]	[Eval:test] Iter:65	accuracy=0.775378
[05-04-2018 17:38:08]	[Train:train] Iter:66	loss=0.430084
[05-04-2018 17:40:14]	[Eval:test] Iter:66	accuracy=0.773543
