[04-30-2018 21:09:25]	[Train:train] Iter:0	loss=0.690386
[04-30-2018 21:09:45]	[Eval:test] Iter:0	accuracy=0.617927
[04-30-2018 21:09:52]	[Eval:valid] Iter:0	accuracy=0.620543
[04-30-2018 21:09:57]	[Train:train] Iter:1	loss=0.685194
[04-30-2018 21:10:03]	[Eval:test] Iter:1	accuracy=0.629292
[04-30-2018 21:10:09]	[Eval:valid] Iter:1	accuracy=0.632101
[04-30-2018 21:10:14]	[Train:train] Iter:2	loss=0.681422
[04-30-2018 21:10:20]	[Eval:test] Iter:2	accuracy=0.630637
[04-30-2018 21:10:25]	[Eval:valid] Iter:2	accuracy=0.633324
[04-30-2018 21:10:31]	[Train:train] Iter:3	loss=0.675140
[04-30-2018 21:10:36]	[Eval:test] Iter:3	accuracy=0.630661
[04-30-2018 21:10:42]	[Eval:valid] Iter:3	accuracy=0.633299
[04-30-2018 21:10:47]	[Train:train] Iter:4	loss=0.673391
[04-30-2018 21:10:52]	[Eval:test] Iter:4	accuracy=0.630661
[04-30-2018 21:10:58]	[Eval:valid] Iter:4	accuracy=0.633299
[04-30-2018 21:11:03]	[Train:train] Iter:5	loss=0.672823
[04-30-2018 21:11:08]	[Eval:test] Iter:5	accuracy=0.630661
[04-30-2018 21:11:13]	[Eval:valid] Iter:5	accuracy=0.633299
[04-30-2018 21:11:18]	[Train:train] Iter:6	loss=0.664212
[04-30-2018 21:11:24]	[Eval:test] Iter:6	accuracy=0.630661
[04-30-2018 21:11:29]	[Eval:valid] Iter:6	accuracy=0.633299
[04-30-2018 21:11:34]	[Train:train] Iter:7	loss=0.665223
[04-30-2018 21:11:40]	[Eval:test] Iter:7	accuracy=0.630661
[04-30-2018 21:11:46]	[Eval:valid] Iter:7	accuracy=0.633299
[04-30-2018 21:11:51]	[Train:train] Iter:8	loss=0.665533
[04-30-2018 21:11:56]	[Eval:test] Iter:8	accuracy=0.630661
[04-30-2018 21:12:03]	[Eval:valid] Iter:8	accuracy=0.633299
[04-30-2018 21:12:08]	[Train:train] Iter:9	loss=0.659175
[04-30-2018 21:12:15]	[Eval:test] Iter:9	accuracy=0.630661
[04-30-2018 21:12:20]	[Eval:valid] Iter:9	accuracy=0.633299
[04-30-2018 21:12:25]	[Train:train] Iter:10	loss=0.658752
[04-30-2018 21:12:31]	[Eval:test] Iter:10	accuracy=0.630661
[04-30-2018 21:12:36]	[Eval:valid] Iter:10	accuracy=0.633299
[04-30-2018 21:12:41]	[Train:train] Iter:11	loss=0.655563
[04-30-2018 21:12:47]	[Eval:test] Iter:11	accuracy=0.630661
[04-30-2018 21:12:52]	[Eval:valid] Iter:11	accuracy=0.633299
[04-30-2018 21:12:57]	[Train:train] Iter:12	loss=0.655378
[04-30-2018 21:13:03]	[Eval:test] Iter:12	accuracy=0.630661
[04-30-2018 21:13:08]	[Eval:valid] Iter:12	accuracy=0.633299
[04-30-2018 21:13:14]	[Train:train] Iter:13	loss=0.653703
[04-30-2018 21:13:19]	[Eval:test] Iter:13	accuracy=0.630661
[04-30-2018 21:13:24]	[Eval:valid] Iter:13	accuracy=0.633299
[04-30-2018 21:13:30]	[Train:train] Iter:14	loss=0.654454
[04-30-2018 21:13:35]	[Eval:test] Iter:14	accuracy=0.630661
[04-30-2018 21:13:41]	[Eval:valid] Iter:14	accuracy=0.633299
[04-30-2018 21:13:46]	[Train:train] Iter:15	loss=0.654441
[04-30-2018 21:13:52]	[Eval:test] Iter:15	accuracy=0.630661
[04-30-2018 21:13:57]	[Eval:valid] Iter:15	accuracy=0.633299
[04-30-2018 21:14:02]	[Train:train] Iter:16	loss=0.653572
[04-30-2018 21:14:08]	[Eval:test] Iter:16	accuracy=0.630661
[04-30-2018 21:14:13]	[Eval:valid] Iter:16	accuracy=0.633299
[04-30-2018 21:14:19]	[Train:train] Iter:17	loss=0.649226
[04-30-2018 21:14:24]	[Eval:test] Iter:17	accuracy=0.630661
[04-30-2018 21:14:29]	[Eval:valid] Iter:17	accuracy=0.633299
[04-30-2018 21:14:34]	[Train:train] Iter:18	loss=0.651242
[04-30-2018 21:14:39]	[Eval:test] Iter:18	accuracy=0.630661
[04-30-2018 21:14:45]	[Eval:valid] Iter:18	accuracy=0.633299
[04-30-2018 21:14:50]	[Train:train] Iter:19	loss=0.648926
[04-30-2018 21:14:56]	[Eval:test] Iter:19	accuracy=0.630661
[04-30-2018 21:15:01]	[Eval:valid] Iter:19	accuracy=0.633299
[04-30-2018 21:15:08]	[Train:train] Iter:20	loss=0.643090
[04-30-2018 21:15:14]	[Eval:test] Iter:20	accuracy=0.630661
[04-30-2018 21:15:19]	[Eval:valid] Iter:20	accuracy=0.633299
[04-30-2018 21:15:24]	[Train:train] Iter:21	loss=0.646614
[04-30-2018 21:15:29]	[Eval:test] Iter:21	accuracy=0.630661
[04-30-2018 21:15:34]	[Eval:valid] Iter:21	accuracy=0.633299
[04-30-2018 21:15:41]	[Train:train] Iter:22	loss=0.644689
[04-30-2018 21:15:47]	[Eval:test] Iter:22	accuracy=0.630661
[04-30-2018 21:15:52]	[Eval:valid] Iter:22	accuracy=0.633299
[04-30-2018 21:15:57]	[Train:train] Iter:23	loss=0.634823
[04-30-2018 21:16:02]	[Eval:test] Iter:23	accuracy=0.630661
[04-30-2018 21:16:08]	[Eval:valid] Iter:23	accuracy=0.633299
[04-30-2018 21:16:13]	[Train:train] Iter:24	loss=0.636842
[04-30-2018 21:16:19]	[Eval:test] Iter:24	accuracy=0.630661
[04-30-2018 21:16:26]	[Eval:valid] Iter:24	accuracy=0.633299
[04-30-2018 21:16:33]	[Train:train] Iter:25	loss=0.633856
[04-30-2018 21:16:38]	[Eval:test] Iter:25	accuracy=0.630686
[04-30-2018 21:16:43]	[Eval:valid] Iter:25	accuracy=0.633299
[04-30-2018 21:16:48]	[Train:train] Iter:26	loss=0.631501
[04-30-2018 21:16:54]	[Eval:test] Iter:26	accuracy=0.631075
[04-30-2018 21:16:59]	[Eval:valid] Iter:26	accuracy=0.633987
[04-30-2018 21:17:04]	[Train:train] Iter:27	loss=0.625588
[04-30-2018 21:17:09]	[Eval:test] Iter:27	accuracy=0.631927
[04-30-2018 21:17:14]	[Eval:valid] Iter:27	accuracy=0.635035
[04-30-2018 21:17:19]	[Train:train] Iter:28	loss=0.625951
[04-30-2018 21:17:25]	[Eval:test] Iter:28	accuracy=0.634977
[04-30-2018 21:17:31]	[Eval:valid] Iter:28	accuracy=0.639014
[04-30-2018 21:17:36]	[Train:train] Iter:29	loss=0.630838
